i,U,K,Px,Py,Pz,Ne
252,-71799911.49738717,38777950.05372022,-4244.55116262068,6859.407855929627,-3741.1467963340942,97.0
253,-71775207.85174938,38814571.815132126,-4244.551162620659,6859.407855929489,-3741.146796334124,97.0
254,-71750084.94383092,38819591.250231914,-4244.551162620644,6859.407855929537,-3741.146796334108,97.0
255,-71723641.30332811,38803517.83125435,-4244.55116262064,6859.40785592952,-3741.1467963340774,97.0
256,-71696588.07676135,38787392.79170168,-4244.551162620655,6859.407855929661,-3741.146796334096,97.0
257,-71668756.57530138,38809047.4709434,-4244.551162620676,6859.407855929544,-3741.1467963341192,96.0
258,-71640239.69862972,38795528.57019721,-4244.551162620559,6859.407855929699,-3741.1467963341347,96.0
259,-71612221.98352905,38793234.83115745,-4244.5511626206635,6859.407855929613,-3741.146796334073,96.0
260,-71584759.11681369,38785973.86752068,-4244.551162620613,6859.407855929584,-3741.146796334107,98.0
261,-71557632.68460047,38792113.79701856,-4244.551162620621,6859.407855929647,-3741.1467963341433,98.0
262,-71530127.93831201,38777607.7775664,-4244.551162620642,6859.407855929519,-3741.1467963340588,98.0
263,-71502748.60674793,38774239.76903315,-4244.551162620655,6859.407855929395,-3741.1467963341224,98.0
264,-71474490.99438028,38778937.86799291,-4244.551162620648,6859.407855929578,-3741.1467963341206,98.0
265,-71447002.24273564,38757753.516199425,-4244.551162620745,6859.407855929631,-3741.146796334077,102.0
266,-71415108.84254868,38741053.660098925,-4244.551162620655,6859.407855929454,-3741.1467963341092,102.0
267,-71385388.68712173,38729125.05675577,-4244.551162620652,6859.407855929526,-3741.1467963341333,102.0
268,-71357513.2601752,38720373.764859654,-4244.551162620681,6859.407855929558,-3741.146796334057,104.0
269,-71326051.17843096,38740591.47549338,-4244.55116262058,6859.407855929462,-3741.146796334117,104.0
270,-71294747.6492316,38726049.740622655,-4244.551162620653,6859.407855929584,-3741.146796334084,104.0
271,-71264160.50917065,38717465.457469404,-4244.55116262063,6859.407855929568,-3741.146796334088,104.0
272,-71232424.24067481,38733731.458411045,-4244.551162620623,6859.407855929583,-3741.1467963341124,104.0
273,-71199855.61936721,38723036.488005534,-4244.551162620645,6859.407855929478,-3741.1467963341483,104.0
274,-71165614.17388158,38718132.558255695,-4244.551162620638,6859.407855929522,-3741.1467963341147,104.0
275,-71130185.25657655,38677624.520797685,-4244.551162620655,6859.407855929658,-3741.146796334071,106.0
276,-71093770.82228312,38663433.145949334,-4244.551162620631,6859.407855929542,-3741.1467963340883,106.0
277,-71057625.06672046,38675555.15432816,-4244.551162620586,6859.4078559295,-3741.1467963340156,106.0
278,-71022385.16437629,38671574.87859048,-4244.551162620643,6859.407855929565,-3741.1467963340956,107.0
